Year,Location,Gold,Silver,Bronze,Event,Note
1908,London,Ulrich Salchow,Richard Johansson,Per Thorén,Men's Singles,
,,,,,,
1912,Stockholm,Figure skating not contested at these Olympics,Figure skating not contested at these Olympics,Figure skating not contested at these Olympics,Men's Singles,Figure skating not contested at these Olympics
1920,Antwerp,Gillis Grafström,Andreas Krogh,Martin Stixrud,Men's Singles,
1924,Chamonix,Gillis Grafström,Willy Böckl,Georges Gautschi,Men's Singles,
1928,St. Moritz,Gillis Grafström,Willy Böckl,Robert van Zeebroeck,Men's Singles,
1932,Lake Placid,Karl Schäfer,Gillis Grafström,Montgomery Wilson,Men's Singles,
1936,Garmisch-Partenkirchen,Karl Schäfer,Ernst Baier,Felix Kaspar,Men's Singles,
1948,St. Moritz,Dick Button,Hans Gerschwiler,Edi Rada,Men's Singles,
1952,Oslo,Dick Button,Helmut Seibt,James Grogan,Men's Singles,
1956,Cortina d'Ampezzo,Hayes Alan Jenkins,Ronnie Robertson,David Jenkins,Men's Singles,
1960,Squaw Valley,David Jenkins,Karol Divín,Donald Jackson,Men's Singles,
1964,Innsbruck,Manfred Schnelldorfer,Alain Calmat,Scott Allen,Men's Singles,
1968,Grenoble,Wolfgang Schwarz,Timothy Wood,Patrick Péra,Men's Singles,
1972,Sapporo,Ondrej Nepela,Sergei Chetverukhin,Patrick Péra,Men's Singles,
1976,Innsbruck,John Curry,Vladimir Kovalev,Toller Cranston,Men's Singles,
1980,Lake Placid,Robin Cousins,Jan Hoffmann,Charles Tickner,Men's Singles,
1984,Sarajevo,Scott Hamilton,Brian Orser,Jozef Sabovčík,Men's Singles,
1988,Calgary,Brian Boitano,Brian Orser,Viktor Petrenko,Men's Singles,
1992,Albertville,Viktor Petrenko,Paul Wylie,Petr Barna,Men's Singles,
1994,Lillehammer,Alexei Urmanov,Elvis Stojko,Philippe Candeloro,Men's Singles,
1998,Nagano,Ilia Kulik,Elvis Stojko,Philippe Candeloro,Men's Singles,
2002,Salt Lake City,Alexei Yagudin,Evgeni Plushenko,Timothy Goebel,Men's Singles,
2006,Turin,Evgeni Plushenko,Stéphane Lambiel,Jeffrey Buttle,Men's Singles,
2010,Vancouver,Evan Lysacek,Evgeni Plushenko,Daisuke Takahashi,Men's Singles,
2014,Sochi,Yuzuru Hanyu,Patrick Chan,Denis Ten,Men's Singles,
2018,Pyeongchang,Yuzuru Hanyu,Shoma Uno,Javier Fernández,Men's Singles,
2022,Beijing,Nathan Chen,Yuma Kagiyama,Shoma Uno,Men's Singles,
1908,London,Nikolai Panin,Arthur Cumming,Geoffrey Hall-Say,Men's Special Figures,
1908,London,Madge Syers,Elsa Rendschmidt,Dorothy Greenhough-Smith,Women's Singles,
1912,Stockholm,Figure skating not contested at these Olympics,Figure skating not contested at these Olympics,Figure skating not contested at these Olympics,,Figure skating not contested at these Olympics
1920,Antwerp,Magda Julin,Svea Norén,Theresa Weld,Women's Singles,
1924,Chamonix,Herma Szabo,Beatrix Loughran,Ethel Muckelt,Women's Singles,
1928,St. Moritz,Sonja Henie,Fritzi Burger,Beatrix Loughran,Women's Singles,
1932,Lake Placid,Sonja Henie,Fritzi Burger,Maribel Vinson,Women's Singles,
1936,Garmisch-Partenkirchen,Sonja Henie,Cecilia Colledge,Vivi-Anne Hultén,Women's Singles,
1948,St. Moritz,Barbara Ann Scott,Eva Pawlik,Jeannette Altwegg,Women's Singles,
1952,Oslo,Jeannette Altwegg,Tenley Albright,Jacqueline du Bief,Women's Singles,
1956,Cortina d'Ampezzo,Tenley Albright,Carol Heiss,Ingrid Wendl,Women's Singles,
1960,Squaw Valley,Carol Heiss,Sjoukje Dijkstra,Barbara Roles,Women's Singles,
1964,Innsbruck,Sjoukje Dijkstra,Regine Heitzer,Petra Burka,Women's Singles,
1968,Grenoble,Peggy Fleming,Gabriele Seyfert,Hana Mašková,Women's Singles,
1972,Sapporo,Beatrix Schuba,Karen Magnussen,Janet Lynn,Women's Singles,
1976,Innsbruck,Dorothy Hamill,Dianne de Leeuw,Christine Errath,Women's Singles,
1980,Lake Placid,Anett Pötzsch,Linda Fratianne,Dagmar Lurz,Women's Singles,
1984,Sarajevo,Katarina Witt,Rosalynn Sumners,Kira Ivanova,Women's Singles,
1988,Calgary,Katarina Witt,Elizabeth Manley,Debi Thomas,Women's Singles,
1992,Albertville,Kristi Yamaguchi,Midori Ito,Nancy Kerrigan,Women's Singles,
1994,Lillehammer,Oksana Baiul,Nancy Kerrigan,Chen Lu,Women's Singles,
1998,Nagano,Tara Lipinski,Michelle Kwan,Chen Lu,Women's Singles,
2002,Salt Lake City,Sarah Hughes,Irina Slutskaya,Michelle Kwan,Women's Singles,
2006,Turin,Shizuka Arakawa,Sasha Cohen,Irina Slutskaya,Women's Singles,
2010,Vancouver,Yuna Kim,Mao Asada,Joannie Rochette,Women's Singles,
2014,Sochi,Adelina Sotnikova,Yuna Kim,Carolina Kostner,Women's Singles,
2018,Pyeongchang,Alina Zagitova,Evgenia Medvedeva,Kaetlyn Osmond,Women's Singles,
2022,Beijing,Anna Shcherbakova,Alexandra Trusova,Kaori Sakamoto,Women's Singles,
1908,London,"Anna Hübler
Heinrich Burger","Phyllis Johnson
James H. Johnson","Madge Syers
Edgar Syers",Pairs,
1912,Stockholm,Figure skating not contested at these Olympics,Figure skating not contested at these Olympics,Figure skating not contested at these Olympics,Figure skating not contested at these Olympics,Figure skating not contested at these Olympics
1920,Antwerp,"Ludowika Jakobsson
Walter Jakobsson","Alexia Bryn
Yngvar Bryn","Phyllis Johnson
Basil Williams",Pairs,
1924,Chamonix,"Helene Engelmann
Alfred Berger","Ludowika Jakobsson
Walter Jakobsson","Andrée Joly
Pierre Brunet",Pairs,
1928,St. Moritz,"Andrée Joly
Pierre Brunet","Lilly Scholz
Otto Kaiser","Melitta Brunner
Ludwig Wrede",Pairs,
1932,Lake Placid,"Andrée Brunet
Pierre Brunet","Beatrix Loughran
Sherwin Badger","Emília Rotter
László Szollás",Pairs,
1936,Garmisch-Partenkirchen,"Maxi Herber
Ernst Baier","Ilse Pausin
Erik Pausin","Emília Rotter
László Szollás",Pairs,
1948,St. Moritz,"Micheline Lannoy
Pierre Baugniet","Andrea Kékesy
Ede Király","Suzanne Morrow
Wallace Diestelmeyer",Pairs,
1952,Oslo,"Ria Falk
Paul Falk","Karol Kennedy
Peter Kennedy","Marianna Nagy
László Nagy",Pairs,
1956,Cortina d'Ampezzo,"Sissy Schwarz
Kurt Oppelt","Frances Dafoe
Norris Bowden","Marianna Nagy
László Nagy",Pairs,
1960,Squaw Valley,"Barbara Wagner
Robert Paul","Marika Kilius
Hans-Jürgen Bäumler","Nancy Ludington
Ronald Ludington",Pairs,
1964,Innsbruck,"Ludmila Belousova
Oleg Protopopov","Marika Kilius
Hans-Jürgen Bäumler







Debbi Wilkes
Guy Revell","Vivian Joseph
Ronald Joseph",Pairs,
1968,Grenoble,"Ludmila Belousova
Oleg Protopopov","Tatyana Zhuk
Aleksandr Gorelik","Margot Glockshuber
Wolfgang Danne",Pairs,
1972,Sapporo,"Irina Rodnina
Alexei Ulanov","Lyudmila Smirnova
Andrei Suraikin","Manuela Groß
Uwe Kagelmann",Pairs,
1976,Innsbruck,"Irina Rodnina
Alexander Zaitsev","Romy Kermer
Rolf Österreich","Manuela Groß
Uwe Kagelmann",Pairs,
1980,Lake Placid,"Irina Rodnina
Alexander Zaitsev","Marina Cherkasova
Sergei Shakhrai","Manuela Mager
Uwe Bewersdorf",Pairs,
1984,Sarajevo,"Elena Valova
Oleg Vasiliev","Kitty Carruthers
Peter Carruthers","Larisa Selezneva
Oleg Makarov",Pairs,
1988,Calgary,"Ekaterina Gordeeva
Sergei Grinkov","Elena Valova
Oleg Vasiliev","Jill Watson
Peter Oppegard",Pairs,
1992,Albertville,"Natalia Mishkutenok
Artur Dmitriev","Elena Bechke
Denis Petrov","Isabelle Brasseur
Lloyd Eisler",Pairs,
1994,Lillehammer,"Ekaterina Gordeeva
Sergei Grinkov","Natalia Mishkutenok
Artur Dmitriev","Isabelle Brasseur
Lloyd Eisler",Pairs,
1998,Nagano,"Oksana Kazakova
Artur Dmitriev","Elena Berezhnaya
Anton Sikharulidze","Mandy Wötzel
Ingo Steuer",Pairs,
2002,Salt Lake City,"Elena Berezhnaya
Anton Sikharulidze







Jamie Salé
David Pelletier",No silver medals awarded,"Shen Xue
Zhao Hongbo",Pairs,No silver medals awarded
2006,Turin,"Tatiana Totmianina
Maxim Marinin","Zhang Dan
Zhang Hao","Shen Xue
Zhao Hongbo",Pairs,
2010,Vancouver,"Shen Xue
Zhao Hongbo","Pang Qing
Tong Jian","Aljona Savchenko
Robin Szolkowy",Pairs,
2014,Sochi,"Tatiana Volosozhar
Maxim Trankov","Ksenia Stolbova
Fedor Klimov","Aljona Savchenko
Robin Szolkowy",Pairs,
2018,Pyeongchang,"Aljona Savchenko
Bruno Massot","Sui Wenjing
Han Cong","Meagan Duhamel
Eric Radford",Pairs,
2022,Beijing,"Sui Wenjing
Han Cong","Evgenia Tarasova
Vladimir Morozov","Anastasia Mishina
Aleksandr Galliamov",Pairs,
1976,Innsbruck,"Lyudmila Pakhomova
Aleksandr Gorshkov","Irina Moiseyeva
Andrei Minenkov","Colleen O'Connor
James Millns",Ice Dance,
1980,Lake Placid,"Natalia Linichuk
Gennadi Karponossov","Krisztina Regőczy
András Sallay","Irina Moiseyeva
Andrei Minenkov",Ice Dance,
1984,Sarajevo,"Jayne Torvill
Christopher Dean","Natalia Bestemianova
Andrei Bukin","Marina Klimova
Sergei Ponomarenko",Ice Dance,
1988,Calgary,"Natalia Bestemianova
Andrei Bukin","Marina Klimova
Sergei Ponomarenko","Tracy Wilson
Robert McCall",Ice Dance,
1992,Albertville,"Marina Klimova
Sergei Ponomarenko","Isabelle Duchesnay
Paul Duchesnay","Maya Usova
Alexander Zhulin",Ice Dance,
1994,Lillehammer,"Oksana Grishuk
Evgeny Platov","Maya Usova
Alexander Zhulin","Jayne Torvill
Christopher Dean",Ice Dance,
1998,Nagano,"Oksana Grishuk
Evgeny Platov","Anjelika Krylova
Oleg Ovsyannikov","Marina Anissina
Gwendal Peizerat",Ice Dance,
2002,Salt Lake City,"Marina Anissina
Gwendal Peizerat","Irina Lobacheva
Ilia Averbukh","Barbara Fusar-Poli
Maurizio Margaglio",Ice Dance,
2006,Turin,"Tatiana Navka
Roman Kostomarov","Tanith Belbin
Benjamin Agosto","Elena Grushina
Ruslan Honcharov",Ice Dance,
2010,Vancouver,"Tessa Virtue
Scott Moir","Meryl Davis
Charlie White","Oksana Domnina
Maxim Shabalin",Ice Dance,
2014,Sochi,"Meryl Davis
Charlie White","Tessa Virtue
Scott Moir","Elena Ilinykh
Nikita Katsalapov",Ice Dance,
2018,Pyeongchang,"Tessa Virtue
Scott Moir","Gabriella Papadakis
Guillaume Cizeron","Maia Shibutani
Alex Shibutani",Ice Dance,
2022,Beijing,"Gabriella Papadakis
Guillaume Cizeron","Victoria Sinitsina
Nikita Katsalapov","Madison Hubbell
Zachary Donohue",Ice Dance,
