Year,Location,Country,Name,Medal,Event,Score
2022,Beijing,USA,Nathan Chen,Gold,Men's Singles,332.6
2022,Beijing,JPN,Yuma Kagiyama,Silver,Men's Singles,310.05
2022,Beijing,JPN,Shoma Uno,Bronze,Men's Singles,293
2022,Beijing,ROC,Anna Shcherbakova,Gold,Women's Singles,255.95
2022,Beijing,ROC,Alexandra Trusova,Silver,Women's Singles,251.73
2022,Beijing,JPN,Kaori Sakamoto,Bronze,Women's Singles,233.13
2022,Beijing,CHN,"Sui Wenjing
Han Cong",Gold,Pairs,239.88
2022,Beijing,ROC,"Evgenia Tarasova
Vladimir Morozov",Silver,Pairs,239.25
2022,Beijing,ROC,"Anastasia Mishina
Aleksandr Galliamov",Bronze,Pairs,237.71
2022,Beijing,FRA,"Gabriella Papadakis
Guillaume Cizeron",Gold,Ice Dance,226.98
2022,Beijing,ROC,"Victoria Sinitsina
Nikita Katsalapov",Silver,Ice Dance,220.51
2022,Beijing,USA,"Madison Hubbell
Zachary Donohue",Bronze,Ice Dance,218.02
2022,Beijing,USA,"United States
Nathan Chen
Vincent Zhou
Karen Chen
Alexa Knierim
Brandon Frazier
Madison Hubbell
Zachary Donohue
Madison Chock
Evan Bates",Gold,Team Event,65
2022,Beijing,JPN,"Japan
Shoma Uno
Yuma Kagiyama
Wakaba Higuchi
Kaori Sakamoto
Riku Miura
Ryuichi Kihara
Misato Komatsubara
Tim Koleto",Silver,Team Event,63
2022,Beijing,ROC,"ROC
Mark Kondratiuk
Kamila Valieva (DQ)
Anastasia Mishina
Aleksandr Galliamov
Victoria Sinitsina
Nikita Katsalapov",Bronze,Team Event,54
2018,Pyeongchang,JPN,Yuzuru Hanyu,Gold,Men's Singles,317.85
2018,Pyeongchang,JPN,Shoma Uno,Silver,Men's Singles,306.9
2018,Pyeongchang,ESP,Javier Fernández,Bronze,Men's Singles,305.24
2018,Pyeongchang,OAR,Alina Zagitova,Gold,Women's Singles,239.57
2018,Pyeongchang,OAR,Evgenia Medvedeva,Silver,Women's Singles,238.26
2018,Pyeongchang,CAN,Kaetlyn Osmond,Bronze,Women's Singles,231.02
2018,Pyeongchang,GER,"Aljona Savchenko
Bruno Massot",Gold,Pairs,235.9
2018,Pyeongchang,CHN,"Sui Wenjing
Han Cong",Silver,Pairs,235.47
2018,Pyeongchang,CAN,"Meagan Duhamel
Eric Radford",Bronze,Pairs,230.15
2018,Pyeongchang,CAN,"Tessa Virtue
Scott Moir",Gold,Ice Dance,206.07
2018,Pyeongchang,FRA,"Gabriella Papadakis
Guillaume Cizeron",Silver,Ice Dance,205.28
2018,Pyeongchang,USA,"Maia Shibutani
Alex Shibutani",Bronze,Ice Dance,192.59
2018,Pyeongchang,CAN,"Canada
Patrick Chan
Kaetlyn Osmond
Gabrielle Daleman
Meagan Duhamel
Eric Radford
Tessa Virtue
Scott Moir",Gold,Team Event,73
2018,Pyeongchang,OAR,"OAR
Mikhail Kolyada
Evgenia Medvedeva
Alina Zagitova
Evgenia Tarasova
Vladimir Morozov
Natalia Zabiiako
Alexander Enbert
Ekaterina Bobrova
Dmitri Soloviev",Silver,Team Event,66
2018,Pyeongchang,USA,"United States
Nathan Chen
Adam Rippon
Bradie Tennell
Mirai Nagasu
Alexa Scimeca Knierim
Chris Knierim
Maia Shibutani
Alex Shibutani",Bronze,Team Event,62
2014,Sochi,JPN,Yuzuru Hanyu,Gold,Men's Singles,280.09
2014,Sochi,CAN,Patrick Chan,Silver,Men's Singles,275.62
2014,Sochi,KAZ,Denis Ten,Bronze,Men's Singles,255.1
2014,Sochi,RUS,Adelina Sotnikova,Gold,Women's Singles,224.59
2014,Sochi,KOR,Yuna Kim,Silver,Women's Singles,219.11
2014,Sochi,ITA,Carolina Kostner,Bronze,Women's Singles,216.73
2014,Sochi,RUS,"Tatiana Volosozhar
Maxim Trankov",Gold,Pairs,236.86
2014,Sochi,RUS,"Ksenia Stolbova
Fedor Klimov",Silver,Pairs,218.68
2014,Sochi,GER,"Aljona Savchenko
Robin Szolkowy",Bronze,Pairs,215.78
2014,Sochi,USA,"Meryl Davis
Charlie White",Gold,Ice Dance,195.52
2014,Sochi,CAN,"Tessa Virtue
Scott Moir",Silver,Ice Dance,190.99
2014,Sochi,RUS,"Elena Ilinykh
Nikita Katsalapov",Bronze,Ice Dance,183.48
2014,Sochi,RUS,"Russia
Evgeni Plushenko
Yulia Lipnitskaya
Tatiana Volosozhar
Maxim Trankov
Ksenia Stolbova
Fedor Klimov
Ekaterina Bobrova
Dmitri Soloviev
Elena Ilinykh
Nikita Katsalapov",Gold,Team Event,75
